Year,"GDP, billions £","Real GDP, billions £","Population, millions","Public Debt, mill £","Public Debt, GDP %",,"Interest Rate, %",,"Payments Balance, GDP %","Gov Spending, GDP %",,"GDP (per capita), K £","Real GDP (per capita), K £","Inflation, (CPI) %","Unemployment, %","Tax Rev, bill £","Tax Rev, GDP %","Income Tax Rate, avg %"
1692,0.05885,9.7831048,9.1,0.003301485,5.61,a,0.34,a,,7.23,a,0.006467033,1.075066462,,,,,
1693,0.05906,9.7939919,9.1,0.005900094,9.99,a,0.38,a,,9.44,a,0.00649011,1.076262846,,,,,
1694,0.05927,9.8048893,9.1,0.006098883,10.29,a,0.75,a,,9.45,a,0.006513187,1.077460363,,,,,
1695,0.05949,9.8158073,9.1,0.008399988,14.12,a,0.98,a,,10.46,a,0.006537363,1.078660143,,,,,
1696,0.0597,9.8267253,9.1,0.01060272,17.76,a,1.09,a,,13.4,a,0.00656044,1.079859923,,,,,
1697,0.05992,9.8376639,9.1,0.016699704,27.87,a,1.74,a,,13.21,a,0.006584615,1.081061967,,,,,
1698,0.06014,9.8486128,9.1,0.017302278,28.77,a,2.44,a,,6.86,a,0.006608791,1.082265143,,,,,
1699,0.06036,9.859572,9.1,0.015397836,25.51,a,2.46,a,,7.77,a,0.006632967,1.083469451,,,,,
1700,0.06058,9.8705415,9.1,0.014199952,23.44,a,2.07,a,,5.28,a,0.006657143,1.08467489,,,0,7.17,
1701,0.0608,9.8815316,9.129,0.01409952,23.19,a,1.97,a,,5.66,a,0.006660094,1.082433081,,,0,6.2,
1702,0.06102,9.8925217,9.158,0.014101722,23.11,a,1.92,a,,8.21,a,0.006663027,1.080205471,,,0,7.98,
1703,0.06124,9.9035324,9.188,0.013601404,22.21,a,1.7,a,,8.68,a,0.006665215,1.077876839,,,0.01,9.08,
1704,0.06146,9.9145534,9.217,0.01339828,21.8,a,1.59,a,,8.99,a,0.006668113,1.075681176,,,0.01,8.78,
1705,0.06168,9.9255847,9.247,0.013002144,21.08,a,1.68,a,,9.52,a,0.006670271,1.073384308,,,0.01,8.58,
1706,0.06191,9.9366366,9.276,0.0130011,21,a,1.74,a,,10.81,a,0.006674213,1.071219987,,,0.01,8.53,
1707,0.06213,9.9476885,9.306,0.014501142,23.34,a,2.97,a,,14.08,a,0.006676338,1.068954277,,,0.01,8.81,
1708,0.06236,9.958761,9.336,0.015197132,24.37,a,2.63,a,,12.42,a,0.00667952,1.066705334,,,0.01,8.35,
1709,0.06258,9.9698438,9.366,0.019099416,30.52,a,3.22,a,,14.64,a,0.006681614,1.064471898,,,0.01,8.32,
1710,0.06281,9.9809369,9.396,0.021399367,34.07,a,2.79,a,,15.56,a,0.006684759,1.062253821,,,0.01,8.36,
1711,0.06304,9.9920506,9.426,0.022398112,35.53,a,2.88,a,,24.02,a,0.006687885,1.060052048,,,0.01,8.22,
1712,0.06326,10.0031643,9.456,0.034900542,55.17,a,3.73,a,,12.43,a,0.006689932,1.057864245,,,0.01,9.09,
1713,0.06349,10.0142986,9.487,0.034697285,54.65,a,4.55,a,,10.02,a,0.006692316,1.055581174,,,0.01,9.1,
1714,0.06372,10.0254432,9.517,0.036199332,56.81,a,4.74,a,,9.71,a,0.006695387,1.053424735,,,0.01,8.41,
1715,0.06396,10.0365981,9.547,0.037397412,58.47,a,9.81,a,,9.74,a,0.006699487,1.051282927,,,0.01,8.67,
1716,0.06419,10.0477736,9.578,0.037897776,59.04,a,4.72,a,,11.02,a,0.006701817,1.04904715,,,0.01,8.7,
1717,0.06442,10.0589491,9.609,0.039302642,61.01,a,5.34,a,,9.14,a,0.006704132,1.046825799,,,0.01,10.11,
1718,0.06465,10.0701452,9.64,0.039701565,61.41,a,4.39,a,,9.83,a,0.006706432,1.044620871,,,0.01,9.42,
1719,0.06489,10.0813516,9.67,0.041600979,64.11,a,4.17,a,,9.48,a,0.006710445,1.042538945,,,0.01,9.29,
1720,0.06512,10.0925683,9.701,0.053997504,82.92,a,4.25,a,,9.22,a,0.00671271,1.040363705,,,0.01,9.71,
1721,0.06536,10.1038056,9.733,0.0549024,84,a,5.07,a,,8.99,a,0.006715298,1.03809777,,,0.01,9.11,
1722,0.0656,10.1150429,9.764,0.05270304,80.34,a,4.59,a,,10.64,a,0.006718558,1.035952776,,,0.01,9.38,
1723,0.06584,10.1263008,9.795,0.053600344,81.41,a,5.95,a,,8.61,a,0.006721797,1.033823461,,,0.01,9.1,
1724,0.06607,10.137569,9.826,0.053800801,81.43,a,4.33,a,,8.23,a,0.006723998,1.03170863,,,0.01,8.74,
1725,0.06631,10.1488578,9.858,0.052703188,79.48,a,4.22,a,,8.32,a,0.006726517,1.029504747,,,0.01,8.99,
1726,0.06655,10.1601466,9.889,0.052900595,79.49,a,4.01,a,,8.33,a,0.0067297,1.027419011,,,0.01,8.29,
1727,0.0668,10.171456,9.921,0.05299912,79.34,a,4.17,a,,8.77,a,0.006733192,1.025245036,,,0.01,9.14,
1728,0.06704,10.1827757,9.953,0.052700144,78.61,a,3.48,a,,9.7,a,0.006735658,1.023086075,,,0.01,10.06,
1729,0.06728,10.1941057,9.985,0.052101632,77.44,a,3.39,a,,8.49,a,0.006738107,1.020941983,,,0.01,9.35,
1730,0.06752,10.205446,10.017,0.051402976,76.13,a,3.38,a,,8.26,a,0.006740541,1.018812619,,,0.01,9.28,
1731,0.06777,10.2168069,10.049,0.051701733,76.29,a,3.13,a,,7.89,a,0.006743955,1.016698866,,,0.01,8.97,
1732,0.06802,10.2281781,10.081,0.05009673,73.65,a,3.26,a,,7.31,a,0.006747346,1.014599554,,,0.01,8.53,
1733,0.06826,10.2395596,10.114,0.05000045,73.25,a,3.14,a,,6.73,a,0.006749061,1.012414435,,,0.01,8.09,
1734,0.06851,10.2509514,10.146,0.049101117,71.67,a,3,a,,9.28,a,0.006752415,1.010344116,,,0.01,7.95,
1735,0.06876,10.2623638,10.178,0.04930092,71.7,a,3.16,a,,8.51,a,0.006755748,1.008288839,,,0.01,8.22,
1736,0.06901,10.2737865,10.211,0.049701002,72.02,a,3.21,a,,8.39,a,0.006758398,1.006148908,,,0.01,8.35,
1737,0.06926,10.2852195,10.244,0.048502778,70.03,a,3.04,a,,7.41,a,0.006761031,1.00402377,,,0.01,8.77,
1738,0.06951,10.2966628,10.277,0.047503134,68.34,a,2.96,a,,6.79,a,0.006763647,1.001913282,,,0.01,8.22,
1739,0.06976,10.308137,10.31,0.046899648,67.23,a,2.93,a,,7.47,a,0.006766246,0.999819302,,,0.01,8.34,
1740,0.07001,10.31957,10.343,0.04739677,67.7,a,3,a,,8.8,a,0.006768829,0.9977347,,,0,3.92,
1741,0.07027,10.331106,10.393,0.048802515,69.45,a,2.89,a,,10.66,a,0.006761282,0.994044645,,,0.01,8.89,
1742,0.07052,10.342539,10.444,0.0513033,72.75,a,2.89,a,,12.1,a,0.006752202,0.990285236,,,0.01,9.1,
1743,0.07078,10.354075,10.494,0.053502602,75.59,a,2.99,a,,12.69,a,0.006744807,0.98666619,,,0.01,9.28,
1744,0.07104,10.365611,10.545,0.057101952,80.38,a,3.07,a,,13.23,a,0.006736842,0.982988241,,,0.01,9.26,
1745,0.07129,10.377147,10.597,0.06009747,84.3,a,3.17,a,,12.51,a,0.006727376,0.979253279,,,0.01,9.05,
1746,0.07155,10.388683,10.648,0.064903005,90.71,a,3.24,a,,13.7,a,0.006719572,0.975646412,,,0.01,8.73,
1747,0.07181,10.400219,10.7,0.069397184,96.64,a,3.78,a,,15.95,a,0.006711215,0.971983084,,,0.01,9.69,
1748,0.07207,10.411858,10.752,0.076098713,105.59,a,3.94,a,,15.28,a,0.006702939,0.968364769,,,0.01,9.99,
1749,0.07233,10.423394,10.805,0.077798148,107.56,a,4.12,a,,17.34,a,0.006694123,0.964682462,,,0.01,10.36,
1750,0.0726,10.435033,10.857,0.07800144,107.44,a,4.43,a,,9.9,a,0.00668693,0.961134107,5.1,,0.01,10.29,
1751,0.07286,10.446569,10.91,0.078098634,107.19,a,4.09,a,,8.82,a,0.006678277,0.957522365,5,,0.01,9.74,
1752,0.07312,10.458208,10.963,0.076900304,105.17,a,4.03,a,,9.62,a,0.006669707,0.953954939,5.2,,0.01,9.56,
1753,0.07339,10.469847,11.016,0.074997241,102.19,a,3.76,a,,8.11,a,0.006662128,0.950421841,5.1,,0.01,10,
1754,0.07365,10.481486,11.07,0.072199095,98.03,a,3.83,a,,4.11,a,0.006653117,0.946837037,5.3,,0.01,9.27,
1755,0.07392,10.493228,11.124,0.072500736,98.08,a,3.69,a,,9.63,a,0.006645092,0.943296296,5,,0.01,9.39,
1756,0.07419,10.504867,11.184,0.074598045,100.55,a,3.72,a,,12.92,a,0.006633584,0.939276377,5.2,,0.01,9.44,
1757,0.07446,10.516609,11.245,0.077803254,104.49,a,3.77,a,,15.06,a,0.00662161,0.935225345,6.3,,0.01,10.7,
1758,0.07473,10.528248,11.306,0.082098378,109.86,a,3.87,a,,17.66,a,0.006609765,0.931208916,6.3,,0.01,10.63,
1759,0.075,10.53999,11.368,0.0912975,121.73,a,3.93,a,,20.51,a,0.006597467,0.927163089,5.8,,0.01,10.87,
1760,0.07723,10.68419,11.43,0.101696464,131.68,a,4.37,a,,23.3,a,0.00675678,0.934749781,5.6,,0.01,11.92,
1761,0.07953,10.83045,11.492,0.114197127,143.59,a,4.81,a,,26.55,a,0.006920466,0.942433867,5.3,,0.01,12.06,
1762,0.0819,10.978667,11.555,0.12660102,154.58,a,5.38,a,,24.47,a,0.007087841,0.950122631,5.5,,0.01,11.55,
1763,0.08433,11.128841,11.617,0.132600492,157.24,a,5.53,a,,21.02,a,0.007259189,0.95797891,5.7,,0.01,11.61,
1764,0.08684,11.281178,11.681,0.134202536,154.54,a,5.63,a,,12.31,a,0.007434295,0.965771595,6.2,,0.01,11.77,
1765,0.08943,11.435575,11.744,0.133599477,149.39,a,5.4,a,,13.44,a,0.007614952,0.973737653,6.4,,0.01,12.22,
1766,0.09209,11.592032,11.808,0.133300275,144.75,a,5.09,a,,11.2,a,0.00779895,0.981710027,6.5,,0.01,11.16,
1767,0.09483,11.750652,11.872,0.13389996,141.2,a,5.29,a,,10.16,a,0.007987702,0.989778639,6.8,,0.01,10.41,
1768,0.09765,11.911435,11.937,0.132598935,135.79,a,5.03,a,,9.37,a,0.008180447,0.99785834,6.7,,0.01,10.37,
1769,0.10056,12.074484,12.002,0.130295592,129.57,a,4.78,a,,9.52,a,0.008378604,1.006039327,6.2,,0.01,11.07,
1770,0.10355,12.239696,12.067,0.13059726,126.12,a,4.67,a,,10.16,a,0.008581255,1.014311428,6.2,,0.01,10.98,
1771,0.10663,12.407174,12.133,0.128905007,120.89,a,4.32,a,,9.48,a,0.008788428,1.022597379,6.7,,0.01,10.3,
1772,0.1098,12.577021,12.199,0.12869658,117.21,a,4.27,a,,9.77,a,0.009000738,1.030987868,7.4,,0.01,10.05,
1773,0.11307,12.749031,12.265,0.1288998,114,a,4.11,a,,8.82,a,0.009218916,1.039464411,7.4,,0.01,9.27,
1774,0.11644,12.923513,12.332,0.127699748,109.67,a,3.96,a,,8.22,a,0.009442102,1.047965699,7.5,,0.01,9.11,
1775,0.1199,13.100364,12.399,0.12729783,106.17,a,3.9,a,,8.64,a,0.009670135,1.056566175,7,,0.01,9.27,
1776,0.12347,13.279687,12.467,0.131199222,106.26,a,3.75,a,,11.38,a,0.009903746,1.065187054,6.9,,0.01,8.57,
1777,0.12714,13.461379,12.534,0.136599216,107.44,a,3.7,a,,12,a,0.010143609,1.07398907,6.9,,0.01,8.73,
1778,0.13093,13.645646,12.603,0.14310649,109.3,a,3.84,a,,13.7,a,0.010388796,1.082729985,7.1,,0.01,8.73,
1779,0.13482,13.832282,12.671,0.153398196,113.78,a,4.17,a,,14.62,a,0.010640044,1.091648804,6.5,,0.01,8.79,
1780,0.13883,14.021596,12.74,0.167206852,120.44,a,4.32,a,,16.28,a,0.010897174,1.100596232,6.3,,0.01,9.02,
1781,0.14297,14.213485,12.809,0.190393149,133.17,a,4.83,a,,18.05,a,0.011161683,1.109648294,6.6,,0.01,9.29,
1782,0.14722,14.407949,12.916,0.214293432,145.56,a,5,a,,19.85,a,0.011398266,1.115511691,6.7,,0.01,9.35,
1783,0.1516,14.605194,13.023,0.2317964,152.9,a,5.31,a,,15.51,a,0.011640943,1.121492283,7.5,,0.01,8.36,
1784,0.15611,14.805014,13.131,0.24290716,155.6,a,5.56,a,,15.53,a,0.01188866,1.127485645,7.6,,0.01,8.46,
1785,0.16076,15.007615,13.24,0.245496596,152.71,a,5.74,a,,16.07,a,0.012141994,1.133505665,7.2,,0.02,9.66,
1786,0.16554,15.212997,13.349,0.246207642,148.73,a,5.73,a,,10.26,a,0.012400929,1.139635703,7.2,,0.02,9.21,
1787,0.17047,15.42116,13.46,0.245800693,144.19,a,5.45,a,,9.08,a,0.012664933,1.145702823,7.2,,0.02,9.65,
1788,0.17554,15.632207,13.572,0.245106502,139.63,a,5.36,a,,9.3,a,0.012933982,1.151798335,7.5,,0.02,9.56,
1789,0.18076,15.846138,13.684,0.24429714,135.15,a,5.22,a,,8.86,a,0.013209588,1.158004823,7.4,,0.02,9.22,
1790,0.18614,16.062953,13.798,0.243992312,131.08,a,5.03,a,,9.03,a,0.013490361,1.164150819,7.5,,0.02,9.14,
1791,0.19168,16.282755,13.912,0.243203584,126.88,a,4.92,a,,9.39,a,0.013778033,1.170410796,7.5,,0.02,9.65,
1792,0.19739,16.505544,14.134,0.24160536,122.4,a,4.72,a,,8.59,a,0.013965615,1.16779001,7.6,,0.02,9.43,
1793,0.20326,16.731423,14.36,0.2428957,119.5,a,4.5,a,,9.65,a,0.014154596,1.165140877,7.8,,0.02,8.92,
1794,0.20931,16.960392,14.589,0.249602175,119.25,a,4.68,a,,13.72,a,0.014347111,1.162546576,8.5,,0.02,8.95,
1795,0.21554,17.192554,14.822,0.267398924,124.06,a,4.86,a,,18.09,a,0.014541897,1.159934827,9.4,,0.02,8.84,
1796,0.22195,17.427806,15.059,0.310397075,139.85,a,5.23,a,,19.09,a,0.014738694,1.15730168,10,,0.02,8.74,
1797,0.22856,17.666251,15.299,0.359204896,157.16,a,5.95,a,,25.22,a,0.014939539,1.154732401,9,,0.02,9.35,
1798,0.23536,17.907992,15.544,0.391191856,166.21,a,6.81,a,,20.15,a,0.015141534,1.152083891,8.8,,0.03,11.45,
1799,0.24236,18.153029,15.792,0.426602072,176.02,a,5.72,a,,19.57,a,0.015347011,1.149507915,9.9,,0.03,13.11,
1800,0.24957,18.401465,16.044,0.441339588,176.84,a,5.43,a,,19.84,a,0.015555348,1.146937484,36.5,,0.03,12.7,
1801,0.257,18.6533,16.3,0.4560979,177.47,a,6.52,a,,19.84,a,0.015766871,1.144374233,11.7,,0.03,12.29,
1802,0.26382,18.870012,16.508,0.498593418,188.99,a,7.54,a,,24.83,a,0.015981342,1.143082869,-23,,0.04,14.82,
1803,0.27083,19.089299,16.718,0.516391561,190.67,a,7.53,a,,20.23,a,0.016199904,1.14184107,-5.9,,0.04,15.21,
1804,0.27802,19.311161,16.931,0.52378968,188.4,a,7.45,a,,19.06,a,0.016420767,1.14058006,3.2,,0.04,15.25,
1805,0.2854,19.535598,17.147,0.53960578,189.07,a,7.25,a,,22,a,0.016644311,1.139301219,16.2,,0.05,17.59,
1806,0.29298,19.76261,17.365,0.564396672,192.64,a,7.61,a,,24.37,a,0.016871869,1.138071408,-4.4,,0.06,18.77,
1807,0.30076,19.992197,17.586,0.583113488,193.88,a,7.71,a,,24.24,a,0.01710224,1.136824576,-1.9,,0.06,19.98,
1808,0.30875,20.224565,17.811,0.591287125,191.51,a,7.71,a,,23.74,a,0.017334793,1.135509797,3.4,,0.06,20.99,
1809,0.31694,20.459611,18.037,0.598984906,188.99,a,7.29,a,,24.61,a,0.017571658,1.134313411,9.7,,0.07,21.52,
1810,0.32536,20.697335,18.267,0.607414584,186.69,a,7.44,a,,25.05,a,0.017811354,1.133045109,3.2,,0.07,21.27,
1811,0.334,20.93784,18.5,0.6095834,182.51,a,7.31,a,,24.43,a,0.018054054,1.131775135,-2.9,,0.07,21.86,
1812,0.33278,21.530399,18.736,0.625992458,188.11,a,7.39,a,,26.23,a,0.017761529,1.149145976,13.2,,0.07,21.34,
1813,0.33156,22.139747,18.975,0.652311144,196.74,a,7.96,a,,28.59,a,0.017473518,1.166785086,2.5,,0.07,21.2,
1814,0.33035,22.766399,19.217,0.72551467,219.62,a,8.26,a,,33.66,a,0.017190508,1.184700994,-12.7,,0.07,22.61,
1815,0.32915,23.410664,19.462,0.744899365,226.31,a,9.11,a,,34.3,a,0.016912445,1.202890967,-10.7,,0.08,23.67,
1816,0.32795,24.073263,19.71,0.77829094,237.32,a,9.82,a,,30.34,a,0.016638762,1.221373059,-8.4,,0.08,24.12,
1817,0.32675,24.754608,19.962,0.755086575,231.09,a,10.07,a,,21.82,a,0.0163686,1.240086564,13.5,,0.07,21.18,
1818,0.32555,25.455111,20.217,0.84330472,259.04,a,9.68,a,,18.03,a,0.016102785,1.259094376,0.3,,0.06,17.69,
1819,0.32437,26.175596,20.474,0.844302673,260.29,a,9.65,a,,17.76,a,0.01584302,1.278479828,-2.5,,0.06,18.34,
1820,0.32318,26.916372,20.736,0.84010641,259.95,a,9.62,a,,17.79,a,0.015585455,1.298050347,-9.3,,0.06,17.98,
1821,0.322,27.67816,21,0.8382948,260.34,a,9.94,a,,18.14,a,0.015333333,1.318007619,-12,,0.06,18.6,
1822,0.33684,29.220791,21.291,0.831085332,246.73,a,9.47,a,,16.74,a,0.015820769,1.37244803,-13.5,,0.06,18.29,
1823,0.35236,30.849427,21.586,0.836115044,237.29,a,8.91,a,,16.03,a,0.016323543,1.429140508,6.8,,0.06,17,
1824,0.3686,32.568806,21.886,0.8286128,224.8,a,8.14,a,,14.73,a,0.016841817,1.488111395,8.6,,0.06,15.87,
1825,0.38558,34.384078,22.189,0.820205776,212.72,a,7.83,a,,14.39,a,0.017377079,1.549600162,17.4,,0.06,15.48,
1826,0.40335,36.300496,22.497,0.811015845,201.07,a,7.24,a,,13.41,a,0.017929057,1.613570521,-5.5,,0.06,14.31,
1827,0.42194,38.323725,22.809,0.809998218,191.97,a,6.92,a,,13.3,a,0.018498838,1.680201894,-6.5,,0.06,13.08,
1828,0.44138,40.459739,23.125,0.80640126,182.7,a,6.66,a,,12.66,a,0.019086703,1.749610335,-2.9,,0.05,12.39,
1829,0.46172,42.714718,23.445,0.80131506,173.55,a,6.35,a,,11.59,a,0.019693751,1.821911623,-1,,0.06,12.24,
1830,0.483,43.782,23.77,0.7982058,165.26,a,6.02,a,,11.12,a,0.020319731,1.841901557,-3.6,,0.06,11.45,
1831,0.48,45.739,24.1,0.786192,163.79,a,6.08,a,,10.81,a,0.019917012,1.897883817,9.9,,0.05,11.35,
1832,0.459,45.087,24.366,0.7842015,170.85,a,6.17,a,,11.22,a,0.018837725,1.850406304,-7.4,,0.05,11.02,
1833,0.453,45.739,24.636,0.7830105,172.85,a,6.25,a,,11.17,a,0.018387725,1.856591979,-6.1,,0.05,11.28,
1834,0.481,47.695,24.908,0.7812883,162.43,a,5.93,a,,10.15,a,0.019311065,1.914846636,-7.8,,0.05,10.44,
1835,0.508,50.117,25.183,0.7749032,152.54,a,5.61,a,,9.63,a,0.020172338,1.990112377,1.7,,0.05,9.92,
1836,0.542,51.049,25.462,0.7903986,145.83,a,5.28,a,,12.03,a,0.021286623,2.004909277,11,,0.05,9.23,
1837,0.521,50.676,25.743,0.790878,151.8,a,5.64,a,,10.36,a,0.020238511,1.968535136,2.5,,0.05,10.1,
1838,0.553,53.471,26.028,0.7889098,142.66,a,5.35,a,,9.24,a,0.02124635,2.054364531,0.7,,0.05,9.11,
1839,0.582,55.799,26.315,0.788901,135.55,a,5.05,a,,8.88,a,0.022116664,2.120425613,7.3,,0.05,8.81,
1840,0.546,54.216,26.606,0.788697,144.45,a,5.42,a,,9.78,a,0.020521687,2.037735849,1.8,,0.05,9.49,
1841,0.52,52.26,26.9,0.790192,151.96,a,5.67,a,,10.23,a,0.019330855,1.942750929,-2.3,,0.05,9.92,
1842,0.5,51.887,26.959,0.7939,158.78,a,5.94,a,,10.86,a,0.018546682,1.924663378,-7.6,,0.05,10.5,
1843,0.498,53.471,27.019,0.7935132,159.34,a,5.94,a,,11.06,a,0.018431474,1.979014767,-11.3,,0.05,10.26,
1844,0.543,56.358,27.079,0.7945176,146.32,a,5.41,a,,10.2,a,0.020052439,2.081243768,-0.1,,0.06,10.44,
1845,0.575,59.339,27.138,0.7898775,137.37,a,5.32,a,,9.53,a,0.021188002,2.186564964,4.9,,0.06,10.12,
1846,0.614,63.345,27.198,0.7872094,128.21,a,4.66,a,,8.75,a,0.022575189,2.329031546,4,,0.06,9.36,
1847,0.638,61.761,27.258,0.7851866,123.07,a,4.44,a,,8.68,a,0.023405973,2.265793529,12,,0.06,9.12,
1848,0.614,63.718,27.319,0.792674,129.1,a,4.63,a,,9.63,a,0.0224752,2.332369413,-12.1,,0.06,9.14,
1849,0.625,64.649,27.379,0.7943125,127.09,a,4.59,a,,9.44,a,0.022827715,2.361262281,-6.3,,0.06,9.25,
1850,0.572,63.531,27.439,0.7934784,138.72,a,4.98,a,,9.7,a,0.020846241,2.315354058,-6.4,,0.06,9.98,
1851,0.601,66.326,27.5,0.789714,131.4,a,4.71,a,,9.1,a,0.021854545,2.411854545,-3,,0.06,9.5,
1852,0.607,67.63,27.656,0.7857008,129.44,a,4.65,a,,8.9,a,0.021948221,2.445400636,0,,0.06,9.28,
1853,0.678,69.586,27.813,0.7822764,115.38,a,4.14,a,,8.16,a,0.02437709,2.501923561,9.3,,0.06,8.45,
1854,0.718,70.797,27.971,0.7744348,107.86,a,3.91,a,,7.77,a,0.025669443,2.531085767,15.1,,0.06,8.15,
1855,0.739,71.822,28.129,0.7797189,105.51,a,3.79,a,,9.35,a,0.026271819,2.553307974,3.3,,0.06,8.44,
